,cve,epss,date
224,CVE-2025-6921,0.00054,2025-10-27
225,CVE-2025-7045,0.00363,2025-10-27
226,CVE-2025-8268,0.0011,2025-10-27
227,CVE-2025-9054,0.0014,2025-10-27
228,CVE-2025-9321,0.00107,2025-10-27
229,CVE-2025-9816,0.00123,2025-10-27
230,CVE-2025-10137,0.00078,2025-10-28
231,CVE-2025-10147,0.00184,2025-10-28
232,CVE-2025-10412,0.00215,2025-10-28
233,CVE-2025-59834,0.00842,2025-10-28
234,CVE-2025-6921,0.00054,2025-10-28
235,CVE-2025-7045,0.00363,2025-10-28
236,CVE-2025-8268,0.0011,2025-10-28
237,CVE-2025-9054,0.0014,2025-10-28
238,CVE-2025-9321,0.00107,2025-10-28
239,CVE-2025-9816,0.00123,2025-10-28
240,CVE-2025-10137,0.00078,2025-10-29
241,CVE-2025-10147,0.00184,2025-10-29
242,CVE-2025-10412,0.00215,2025-10-29
243,CVE-2025-59834,0.00842,2025-10-29
244,CVE-2025-6921,0.00054,2025-10-29
245,CVE-2025-7045,0.00363,2025-10-29
246,CVE-2025-8268,0.0011,2025-10-29
247,CVE-2025-9054,0.0014,2025-10-29
248,CVE-2025-9321,0.00107,2025-10-29
249,CVE-2025-9816,0.00177,2025-10-29
250,CVE-2025-10137,0.00078,2025-10-30
251,CVE-2025-10147,0.00184,2025-10-30
252,CVE-2025-10412,0.00215,2025-10-30
253,CVE-2025-59834,0.00842,2025-10-30
254,CVE-2025-6921,0.00054,2025-10-30
255,CVE-2025-7045,0.00363,2025-10-30
256,CVE-2025-8268,0.0011,2025-10-30
257,CVE-2025-9054,0.0014,2025-10-30
258,CVE-2025-9321,0.00107,2025-10-30
259,CVE-2025-9816,0.00177,2025-10-30
260,CVE-2025-10137,0.00078,2025-10-31
261,CVE-2025-10147,0.00184,2025-10-31
262,CVE-2025-10412,0.00215,2025-10-31
263,CVE-2025-59834,0.00842,2025-10-31
264,CVE-2025-6921,0.00054,2025-10-31
265,CVE-2025-7045,0.00363,2025-10-31
266,CVE-2025-8268,0.0011,2025-10-31
267,CVE-2025-9054,0.0014,2025-10-31
268,CVE-2025-9321,0.00107,2025-10-31
269,CVE-2025-9816,0.00177,2025-10-31
270,CVE-2025-10137,0.00078,2025-11-01
271,CVE-2025-10147,0.00184,2025-11-01
272,CVE-2025-10412,0.00215,2025-11-01
273,CVE-2025-59834,0.00842,2025-11-01
274,CVE-2025-6921,0.00054,2025-11-01
275,CVE-2025-7045,0.00363,2025-11-01
276,CVE-2025-8268,0.0011,2025-11-01
277,CVE-2025-9054,0.0014,2025-11-01
278,CVE-2025-9321,0.00107,2025-11-01
279,CVE-2025-9816,0.00141,2025-11-01
280,CVE-2025-10137,0.00078,2025-11-02
281,CVE-2025-10147,0.00184,2025-11-02
282,CVE-2025-10412,0.00215,2025-11-02
283,CVE-2025-59834,0.00842,2025-11-02
284,CVE-2025-6921,0.00054,2025-11-02
285,CVE-2025-7045,0.00363,2025-11-02
286,CVE-2025-8268,0.0011,2025-11-02
287,CVE-2025-9054,0.0014,2025-11-02
288,CVE-2025-9321,0.00107,2025-11-02
289,CVE-2025-9816,0.00141,2025-11-02
290,CVE-2025-10137,0.00078,2025-11-03
291,CVE-2025-10147,0.00184,2025-11-03
292,CVE-2025-10412,0.00215,2025-11-03
293,CVE-2025-59834,0.00842,2025-11-03
294,CVE-2025-6921,0.00054,2025-11-03
295,CVE-2025-7045,0.00363,2025-11-03
296,CVE-2025-8268,0.0011,2025-11-03
297,CVE-2025-9054,0.0014,2025-11-03
298,CVE-2025-9321,0.00107,2025-11-03
299,CVE-2025-9816,0.00141,2025-11-03
300,CVE-2025-10137,0.00078,2025-11-04
301,CVE-2025-10147,0.00184,2025-11-04
302,CVE-2025-10412,0.00215,2025-11-04
303,CVE-2025-59834,0.00842,2025-11-04
304,CVE-2025-6921,0.00073,2025-11-04
305,CVE-2025-7045,0.00363,2025-11-04
306,CVE-2025-8268,0.0011,2025-11-04
307,CVE-2025-9054,0.0014,2025-11-04
308,CVE-2025-9321,0.00107,2025-11-04
309,CVE-2025-9816,0.00177,2025-11-04
310,CVE-2025-10137,0.00078,2025-11-05
311,CVE-2025-10147,0.00184,2025-11-05
312,CVE-2025-10412,0.00215,2025-11-05
